epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.0241,1.3191,1.83152,0.83961,0.16778,0.25312,0.13655,0.07197,1.55147,inf,0.84414,0.000405983,0.000405983,0.000405983
2,61.0733,1.18715,0.75812,0.81874,0.49528,0.40744,0.29396,0.17363,1.10595,1.52395,0.81347,0.000814505,0.000814505,0.000814505
3,91.0327,1.20411,0.67287,0.81606,0.17775,0.40182,0.14566,0.08154,1.23611,inf,0.81677,0.00121478,0.00121478,0.00121478
4,121.214,1.32537,0.70513,0.82375,0.50928,0.51397,0.49414,0.26551,1.41487,0.86659,0.82703,0.00121287,0.00121287,0.00121287
5,151.216,1.29963,0.66991,0.82317,0.87815,0.63287,0.709,0.42998,1.06002,0.58311,0.80589,0.0012005,0.0012005,0.0012005
6,180.932,1.11291,0.59318,0.80745,0.77628,0.60489,0.68506,0.39415,1.15166,0.70033,0.8045,0.00118812,0.00118812,0.00118812
7,210.784,1.147,0.58852,0.81074,0.66184,0.5918,0.60854,0.34289,1.10302,0.6488,0.81006,0.00117575,0.00117575,0.00117575
8,240.465,1.05338,0.54416,0.79995,0.87684,0.58683,0.71209,0.46062,0.92376,0.52256,0.79993,0.00116337,0.00116337,0.00116337
9,270.127,1.04008,0.53825,0.80198,0.83746,0.68233,0.7492,0.45548,1.01499,0.53761,0.80116,0.001151,0.001151,0.001151
10,299.68,1.04401,0.52829,0.80246,0.85673,0.67489,0.7462,0.45709,1.00852,0.50198,0.79677,0.00113863,0.00113863,0.00113863
11,329.8,1.08708,0.51846,0.80158,0.86522,0.67996,0.75917,0.50906,0.89518,0.48157,0.79523,0.00112625,0.00112625,0.00112625
12,359.251,1.023,0.50193,0.79791,0.80641,0.72184,0.78279,0.50419,0.907,0.48452,0.79512,0.00111388,0.00111388,0.00111388
13,388.86,0.99613,0.49196,0.79708,0.77391,0.70484,0.75879,0.4786,0.97225,0.52934,0.79682,0.0011015,0.0011015,0.0011015
14,418.885,0.98823,0.49396,0.79556,0.87754,0.6981,0.74871,0.5016,0.84944,0.44926,0.79426,0.00108913,0.00108913,0.00108913
